Team,Conference,Current coach,DOB,Month,Day,Year,Since,M_D_DOB,Sign
Maryland Terrapins,Big Ten Conference,Mark Turgeon,02/05/65,2,05,1965,2011–12,205,Aquarius
Michigan Wolverines,Big Ten Conference,John Beilein,02/05/53,2,05,1953,2007–08,205,Aquarius
Boston College Eagles,Atlantic Coast Conference,Jim Christian,02/06/65,2,06,1965,2014–15,206,Aquarius
Loyola (Maryland) Greyhounds,Patriot League,Tavaras Hardy,02/09/80,2,09,1980,2018–19,209,Aquarius
Kentucky Wildcats,Southeastern Conference,John Calipari,02/10/59,2,10,1959,2009–10,210,Aquarius
Elon Phoenix,Colonial Athletic Association,Matt Matheny,02/11/70,2,11,1970,2009–10,211,Aquarius
Wagner Seahawks,Northeast Conference,Bashir Mason,02/11/84,2,11,1984,2012–13,211,Aquarius
Pittsburgh Panthers,Atlantic Coast Conference,Jeff Capel III,02/12/75,2,12,1975,2018–19,212,Aquarius
St. Bonaventure Bonnies,Atlantic 10 Conference,Mark Schmidt,02/12/63,2,12,1963,2007–08,212,Aquarius
Tennessee Tech Golden Eagles,Ohio Valley Conference,Steve Payne,02/12/68,2,12,1968,2011–12,212,Aquarius
Duke Blue Devils,Atlantic Coast Conference,Mike Krzyzewski,02/13/47,2,13,1947,1980–81,213,Aquarius
Texas Tech Red Raiders,Big 12 Conference,Chris Beard,02/18/73,2,18,1973,2016–17,218,Aquarius
Yale Bulldogs,Ivy League,James Jones,02/20/64,2,20,1964,1999–2000,220,Pisces
Canisius Golden Griffins,Metro Atlantic Athletic Conference,Reggie Witherspoon,02/21/61,2,21,1961,2016–17,221,Pisces
Illinois State Redbirds,Missouri Valley Conference,Dan Muller,02/21/76,2,21,1976,2012–13,221,Pisces
UC Riverside Highlanders,Big West Conference,David Patrick,02/21/76,2,21,1976,2018–19,221,Pisces
Santa Clara Broncos,West Coast Conference,Herb Sendek,02/22/63,2,22,1963,2016–17,222,Pisces
Wichita State Shockers,American Athletic Conference,Gregg Marshall,02/27/63,2,27,1963,2007–08,227,Pisces
Florida Gators,Southeastern Conference,Michael White,03/02/77,3,02,1977,2015–16,302,Pisces
Louisiana Ragin' Cajuns,Sun Belt Conference,Bob Marlin,03/05/59,3,05,1959,2010–11,305,Pisces
Iona Gaels,Metro Atlantic Athletic Conference,Tim Cluess,03/09/59,3,09,1959,2010–11,309,Pisces
Little Rock Trojans,Sun Belt Conference,Darrell Walker,03/09/61,3,09,1961,2018–19,309,Pisces
Central Michigan Chippewas,Mid-American Conference,Keno Davis,03/10/72,3,10,1972,2012–13,310,Pisces
McNeese State Cowboys,Southland Conference,Heath Schroyer,03/15/72,3,15,1972,2018–19,315,Pisces
Auburn Tigers,Southeastern Conference,Bruce Pearl,03/18/60,3,18,1960,2014–15,318,Pisces
Tulane Green Wave,American Athletic Conference,Mike Dunleavy Sr.,03/21/54,3,21,1954,2016–17,321,Aries
East Tennessee State Buccaneers,Southern Conference,Steve Forbes,03/22/65,3,22,1965,2015–16,322,Aries
Furman Paladins,Southern Conference,Bob Richey,03/22/83,3,22,1983,2017–18,322,Aries
Notre Dame Fighting Irish,Atlantic Coast Conference,Mike Brey,03/22/59,3,22,1959,2000–01,322,Aries
Savannah State Tigers,Mid-Eastern Athletic Conference,Horace Broadnax,03/22/64,3,22,1964,2005–06,322,Aries
Texas A&M–Corpus Christi Islanders,Southland Conference,Willis Wilson,03/22/60,3,22,1960,2011–12,322,Aries
South Carolina Gamecocks,Southeastern Conference,Frank Martin,03/23/66,3,23,1966,2012–13,323,Aries
Tennessee State Tigers,Ohio Valley Conference,Brian Collins,03/23/84,3,23,1984,2018–19,323,Aries
Alabama Crimson Tide,Southeastern Conference,Avery Johnson,03/25/65,3,25,1965,2015–16,325,Aries
Bucknell Bison,Patriot League,Nathan Davis,03/25/74,3,25,1974,2015–16,325,Aries
Georgia Bulldogs,Southeastern Conference,Tom Crean,03/25/66,3,25,1966,2018–19,325,Aries
UTEP Miners,Conference USA,Rodney Terry,03/27/68,3,27,1968,2018–19,327,Aries
South Carolina Upstate Spartans,Big South Conference,Dave Dickerson,03/29/67,3,29,1967,2018–19,329,Aries
Southern Jaguars,Southwestern Athletic Conference,Sean Woods,03/29/70,3,29,1970,2018–19,329,Aries
San Jose State Spartans,Mountain West Conference,Jean Prioleau,03/30/70,3,30,1970,2017–18,330,Aries
Texas Southern Tigers,Southwestern Athletic Conference,Johnny Jones,03/30/61,3,30,1961,2018–19,330,Aries
Northern Illinois Huskies,Mid-American Conference,Mark Montgomery,04/01/70,4,01,1970,2011–12,401,Aries
Stanford Cardinal,Pac-12 Conference,Jerod Haase,04/01/74,4,01,1974,2016–17,401,Aries
Fairleigh Dickinson Knights,Northeast Conference,Greg Herenda,04/02/61,4,02,1961,2013–14,402,Aries
Miami RedHawks,Mid-American Conference,Jack Owens,04/03/77,4,03,1977,2017–18,403,Aries
Portland State Vikings,Big Sky Conference,Barret Peery,04/03/71,4,03,1971,2017–18,403,Aries
Oral Roberts Golden Eagles,Summit League,Paul Mills,04/04/72,4,04,1972,2017–18,404,Aries
New Hampshire Wildcats,America East Conference,Bill Herrion,04/06/58,4,06,1958,2005–06,406,Aries
Seton Hall Pirates,Big East Conference,Kevin Willard,04/06/75,4,06,1975,2010–11,406,Aries
Drake Bulldogs,Missouri Valley Conference,Darian DeVries,04/07/75,4,07,1975,2018–19,407,Aries
Georgia State Panthers,Sun Belt Conference,Ron Hunter,04/07/64,4,07,1964,2011–12,407,Aries
Portland Pilots,West Coast Conference,Terry Porter,04/08/63,4,08,1963,2016–17,408,Aries
Texas Longhorns,Big 12 Conference,Shaka Smart,04/08/77,4,08,1977,2015–16,408,Aries
Maryland Eastern Shore Hawks,Mid-Eastern Athletic Conference,Clifford Reed,04/12/65,4,12,1965,2018–19,412,Aries
New Mexico State Aggies,Western Athletic Conference,Chris Jans,04/12/69,4,12,1969,2017–18,412,Aries
Dayton Flyers,Atlantic 10 Conference,Anthony Grant,04/15/66,4,15,1966,2017–18,415,Aries
UC Santa Barbara Gauchos,Big West Conference,Joe Pasternack,04/15/77,4,15,1977,2017–18,415,Aries
UT Martin Skyhawks,Ohio Valley Conference,Anthony Stewart,04/15/70,4,15,1970,2016–17,415,Aries
Butler Bulldogs,Big East Conference,LaVall Jordan,04/16/79,4,16,1979,2017–18,416,Aries
Jacksonville Dolphins,Atlantic Sun Conference,Tony Jasick,04/17/78,4,17,1978,2014–15,417,Aries
Vermont Catamounts,America East Conference,John Becker,04/17/68,4,17,1968,2011–12,417,Aries
Siena Saints,Metro Atlantic Athletic Conference,Jamion Christian,04/18/82,4,18,1982,2018–19,418,Aries
Northwestern Wildcats,Big Ten Conference,Chris Collins,04/19/74,4,19,1974,2013–14,419,Aries
Samford Bulldogs,Southern Conference,Scott Padgett,04/19/76,4,19,1976,2014–15,419,Taurus
Sam Houston State Bearkats,Southland Conference,Jason Hooten,04/20/69,4,20,1969,2010–11,420,Taurus
Middle Tennessee Blue Raiders,Conference USA,Nick McDevitt,04/21/79,4,21,1979,2018–19,421,Taurus
Georgia Southern Eagles,Sun Belt Conference,Mark Byington,04/22/76,4,22,1976,2013–14,422,Taurus
Liberty Flames,Atlantic Sun Conference,Ritchie McKay,04/22/65,4,22,1965,2015–16,422,Taurus
North Dakota Fighting Hawks,Summit League,Brian Jones,04/22/71,4,22,1971,2006–07,422,Taurus
Stetson Hatters,Atlantic Sun Conference,Corey Williams,04/24/70,4,24,1970,2013–14,424,Taurus
Fairfield Stags,Metro Atlantic Athletic Conference,Sydney Johnson,04/26/74,4,26,1974,2011–12,426,Taurus
Murray State Racers,Ohio Valley Conference,Matt McMahon,04/26/78,4,26,1978,2015–16,426,Taurus
Belmont Bruins,Ohio Valley Conference,Rick Byrd,04/30/53,4,30,1953,1996–97,430,Taurus
Radford Highlanders,Big South Conference,Mike Jones,04/30/65,4,30,1965,2011–12,430,Taurus
Cal State Fullerton Titans,Big West Conference,Dedrique Taylor,05/01/74,5,01,1974,2013–14,501,Taurus
North Dakota State Bison,Summit League,David Richman,05/01/78,5,01,1978,2014–15,501,Taurus
Wofford Terriers,Southern Conference,Mike Young,05/01/63,5,01,1963,2002–03,501,Taurus
New Orleans Privateers,Southland Conference,Mark Slessinger,05/02/74,5,02,1974,2011–12,502,Taurus
Northeastern Huskies,Colonial Athletic Association,Bill Coen,05/03/61,5,03,1961,2006–07,503,Taurus
Rider Broncs,Metro Atlantic Athletic Conference,Kevin Baggett,05/03/66,5,03,1966,2012–13,503,Taurus
UAB Blazers,Conference USA,Robert Ehsan,05/03/82,5,03,1982,2016–17,503,Taurus
Seattle Redhawks,Western Athletic Conference,Jim Hayford,05/05/67,5,05,1967,2017–18,505,Taurus
Incarnate Word Cardinals,Southland Conference,Carson Cunningham,05/07/77,5,07,1977,2018–19,507,Taurus
Southeast Missouri State Redhawks,Ohio Valley Conference,Rick Ray,05/08/70,5,08,1970,2015–16,508,Taurus
Bryant Bulldogs,Northeast Conference,Jared Grasso,05/11/80,5,11,1980,2018–19,511,Taurus
Southern Illinois Salukis,Missouri Valley Conference,Barry Hinson,05/12/61,5,12,1961,2012–13,512,Taurus
Winthrop Eagles,Big South Conference,Pat Kelsey,05/15/75,5,15,1975,2012–13,515,Taurus
Wake Forest Demon Deacons,Atlantic Coast Conference,Danny Manning,05/17/66,5,17,1966,2014–15,517,Taurus
American Eagles,Patriot League,Mike Brennan,05/18/72,5,18,1972,2013–14,518,Taurus
Central Connecticut Blue Devils,Northeast Conference,Donyell Marshall,05/18/73,5,18,1973,2016–17,518,Taurus
DePaul Blue Demons,Big East Conference,Dave Leitao,05/18/60,5,18,1960,2015–16,518,Taurus
Penn Quakers,Ivy League,Steve Donahue,05/21/62,5,21,1962,2015–16,521,Gemini
Iowa Hawkeyes,Big Ten Conference,Fran McCaffery,05/23/59,5,23,1959,2010–11,523,Gemini
Hartford Hawks,America East Conference,John Gallagher,05/27/77,5,27,1977,2010–11,527,Gemini
Loyola Marymount Lions,West Coast Conference,Mike Dunlap,05/27/57,5,27,1957,2014–15,527,Gemini
Mississippi State Bulldogs,Southeastern Conference,Ben Howland,05/28/57,5,28,1957,2015–16,528,Gemini
Florida Gulf Coast Eagles,Atlantic Sun Conference,Michael Fly,05/29/83,5,29,1983,2018–19,529,Gemini
Lehigh Mountain Hawks,Patriot League,Brett Reed,05/29/72,5,29,1972,2007–08,529,Gemini
Arkansas State Red Wolves,Sun Belt Conference,Mike Balado,05/31/85,5,31,1985,2017–18,531,Gemini
Virginia Cavaliers,Atlantic Coast Conference,Tony Bennett,06/01/69,6,01,1969,2009–10,601,Gemini
SMU Mustangs,American Athletic Conference,Tim Jankovich,06/04/59,6,04,1959,2016–17,604,Gemini
Harvard Crimson,Ivy League,Tommy Amaker,06/06/65,6,06,1965,2007–08,606,Gemini
Wright State Raiders,Horizon League,Scott Nagy,06/07/66,6,07,1966,2016–17,607,Gemini
Lipscomb Bisons,Atlantic Sun Conference,Casey Alexander,06/08/72,6,08,1972,2013–14,608,Gemini
USC Trojans,Pac-12 Conference,Andy Enfield,06/08/69,6,08,1969,2013–14,608,Gemini
Missouri State Bears,Missouri Valley Conference,Dana Ford,06/09/84,6,09,1984,2018–19,609,Gemini
Saint Mary's Gaels,West Coast Conference,Randy Bennett,06/09/62,6,09,1962,2001–02,609,Gemini
Marist Red Foxes,Metro Atlantic Athletic Conference,John Dunne,06/11/70,6,11,1970,2018–19,611,Gemini
New Mexico Lobos,Mountain West Conference,Paul Weir,06/12/79,6,12,1979,2017–18,612,Gemini
Southern Miss Golden Eagles,Conference USA,Doc Sadler,06/12/60,6,12,1960,2014–15,612,Gemini
Weber State Wildcats,Big Sky Conference,Randy Rahe,06/12/60,6,12,1960,2006–07,612,Gemini
Idaho Vandals,Big Sky Conference,Don Verlin,06/15/65,6,15,1965,2008–09,615,Gemini
San Francisco Dons,West Coast Conference,Kyle Smith,06/15/69,6,15,1969,2016–17,615,Gemini
Kennesaw State Owls,Atlantic Sun Conference,Al Skinner,06/16/52,6,16,1952,2015–16,616,Gemini
North Carolina Central Eagles,Mid-Eastern Athletic Conference,LeVelle Moton,06/16/74,6,16,1974,2009–10,616,Gemini
Oregon Ducks,Pac-12 Conference,Dana Altman,06/16/58,6,16,1958,2010–11,616,Gemini
Toledo Rockets,Mid-American Conference,Tod Kowalczyk,06/19/66,6,19,1966,2010–11,619,Gemini
Florida A&M Rattlers,Mid-Eastern Athletic Conference,Robert McCullum,06/20/54,6,20,1954,2017–18,620,Gemini
LIU Brooklyn Blackbirds,Northeast Conference,Derek Kellogg,06/20/73,6,20,1973,2017–18,620,Gemini
Cleveland State Vikings,Horizon League,Dennis Felton,06/21/63,6,21,1963,2017–18,621,Cancer
Norfolk State Spartans,Mid-Eastern Athletic Conference,Robert Jones,06/26/79,6,26,1979,2013–14,626,Cancer
Bowling Green Falcons,Mid-American Conference,Michael Huger,06/27/70,6,27,1970,2015–16,627,Cancer
Arizona State Sun Devils,Pac-12 Conference,Bobby Hurley,06/28/71,6,28,1971,2015–16,628,Cancer
Hampton Pirates,Big South Conference,Edward Joyner,06/28/72,6,28,1972,2009–10,628,Cancer
Florida International Panthers,Conference USA,Jeremy Ballard,06/29/81,6,29,1981,2018–19,629,Cancer
Old Dominion Monarchs,Conference USA,Jeff Jones,06/29/60,6,29,1960,2013–14,629,Cancer
High Point Panthers,Big South Conference,Tubby Smith,06/30/51,6,30,1951,2018–19,630,Cancer
Brown Bears,Ivy League,Mike Martin,07/04/82,7,04,1982,2012–13,704,Cancer
Marshall Thundering Herd,Conference USA,Dan D'Antoni,07/09/47,7,09,1947,2014–15,709,Cancer
UMBC Retrievers,America East Conference,Ryan Odom,07/11/74,7,11,1974,2016–17,711,Cancer
Iowa State Cyclones,Big 12 Conference,Steve Prohm,07/12/74,7,12,1974,2015–16,712,Cancer
Davidson Wildcats,Atlantic 10 Conference,Bob McKillop,07/13/50,7,13,1950,1989–90,713,Cancer
Cincinnati Bearcats,American Athletic Conference,Mick Cronin,07/17/71,7,17,1971,2006–07,717,Cancer
Tennessee Volunteers,Southeastern Conference,Rick Barnes,07/17/54,7,17,1954,2015–16,717,Cancer
Memphis Tigers,American Athletic Conference,Penny Hardaway,07/18/71,7,18,1971,2018–19,718,Cancer
Mercer Bears,Southern Conference,Bob Hoffman,07/18/57,7,18,1957,2008–09,718,Cancer
California Baptist Lancers,Western Athletic Conference,Rick Croy,07/19/77,7,19,1977,2013–14,719,Cancer
Ball State Cardinals,Mid-American Conference,James Whitford,07/23/71,7,23,1971,2013–14,723,Leo
Kent State Golden Flashes,Mid-American Conference,Rob Senderoff,07/25/73,7,25,1973,2011–12,725,Leo
Northern Arizona Lumberjacks,Big Sky Conference,Jack Murphy,07/25/79,7,25,1979,2012–13,725,Leo
NC State Wolfpack,Atlantic Coast Conference,Kevin Keatts,07/28/72,7,28,1972,2017–18,728,Leo
Purdue Fort Wayne Mastodons,Summit League,Jon Coffman,07/28/73,7,28,1973,2014–15,728,Leo
Valparaiso Crusaders,Missouri Valley Conference,Matt Lottich,07/29/82,7,29,1982,2016–17,729,Leo
Eastern Washington Eagles,Big Sky Conference,Shantay Legans,07/30/81,7,30,1981,2017–18,730,Leo
St. John's Red Storm,Big East Conference,Chris Mullin,07/30/63,7,30,1963,2015–16,730,Leo
North Carolina Tar Heels,Atlantic Coast Conference,Roy Williams,08/01/50,8,01,1950,2003–04,801,Leo
Southern Utah Thunderbirds,Big Sky Conference,Todd Simon,08/03/80,8,03,1980,2016–17,803,Leo
Western Michigan Broncos,Mid-American Conference,Steve Hawkins,08/03/62,8,03,1962,2003–04,803,Leo
Florida State Seminoles,Atlantic Coast Conference,Leonard Hamilton,08/04/48,8,04,1948,2002–03,804,Leo
Georgetown Hoyas,Big East Conference,Patrick Ewing,08/05/62,8,05,1962,2017–18,805,Leo
Washington Huskies,Pac-12 Conference,Mike Hopkins,08/06/69,8,06,1969,2017–18,806,Leo
Arkansas–Pine Bluff Golden Lions,Southwestern Athletic Conference,George Ivory,08/07/65,8,07,1965,2008–09,807,Leo
Richmond Spiders,Atlantic 10 Conference,Chris Mooney,08/07/72,8,07,1972,2005–06,807,Leo
UMKC Kangaroos,Western Athletic Conference,Kareem Richardson,08/08/74,8,08,1974,2013–14,808,Leo
Colorado State Rams,Mountain West Conference,Niko Medved,08/10/73,8,10,1973,2018–19,810,Leo
Marquette Golden Eagles,Big East Conference,Steve Wojciechowski,08/11/76,8,11,1976,2014–15,811,Leo
Alabama State Hornets,Southwestern Athletic Conference,Lewis Jackson,08/13/62,8,13,1962,2005–06,813,Leo
Princeton Tigers,Ivy League,Mitch Henderson,08/14/75,8,14,1975,2011–12,814,Leo
UIC Flames,Horizon League,Steve McClain,08/15/62,8,15,1962,2015–16,815,Leo
Columbia Lions,Ivy League,Jim Engles,08/18/68,8,18,1968,2016–17,818,Leo
UC Davis Aggies,Big West Conference,Jim Les,08/18/63,8,18,1963,2011–12,818,Leo
Oklahoma Sooners,Big 12 Conference,Lon Kruger,08/19/52,8,19,1952,2011–12,819,Leo
Nebraska Cornhuskers,Big Ten Conference,Tim Miles,08/20/66,8,20,1966,2012–13,820,Leo
Milwaukee Panthers,Horizon League,Pat Baldwin,08/22/72,8,22,1972,2017–18,822,Leo
UNC Asheville Bulldogs,Big South Conference,Mike Morrell,08/22/82,8,22,1982,2018–19,822,Leo
Lafayette Leopards,Patriot League,Fran O'Hanlon,08/24/48,8,24,1948,1995–96,824,Virgo
Loyola (Chicago) Ramblers,Missouri Valley Conference,Porter Moser,08/24/68,8,24,1968,2011–12,824,Virgo
Cal Poly Mustangs,Big West Conference,Joe Callero,08/26/62,8,26,1962,2009–10,826,Virgo
George Washington Colonials,Atlantic 10 Conference,Maurice Joseph,08/26/85,8,26,1985,2016–17,826,Virgo
Purdue Boilermakers,Big Ten Conference,Matt Painter,08/27/70,8,27,1970,2005–06,827,Virgo
Rice Owls,Conference USA,Scott Pera,08/27/67,8,27,1967,2017–18,827,Virgo
Hofstra Pride,Colonial Athletic Association,Joe Mihalich,08/29/56,8,29,1956,2013–14,829,Virgo
Saint Joseph's Hawks,Atlantic 10 Conference,Phil Martelli,08/31/54,8,31,1954,1995–96,831,Virgo
Virginia Tech Hokies,Atlantic Coast Conference,Buzz Williams,09/01/72,9,01,1972,2014–15,901,Virgo
Manhattan Jaspers,Metro Atlantic Athletic Conference,Steve Masiello,09/02/77,9,02,1977,2011–12,902,Virgo
Pacific Tigers,West Coast Conference,Damon Stoudamire,09/03/73,9,03,1973,2016–17,903,Virgo
Stony Brook Seawolves,America East Conference,Jeff Boals,09/05/72,9,05,1972,2016–17,905,Virgo
Akron Zips,Mid-American Conference,John Groce,09/07/71,9,07,1971,2017–18,907,Virgo
Hawaii Rainbow Warriors,Big West Conference,Eran Ganot,09/08/81,9,08,1981,2015–16,908,Virgo
Grand Canyon Antelopes,Western Athletic Conference,Dan Majerle,09/09/65,9,09,1965,2013–14,909,Virgo
Providence Friars,Big East Conference,Ed Cooley,09/10/69,9,10,1969,2011–12,910,Virgo
Robert Morris Colonials,Northeast Conference,Andrew Toole,09/11/80,9,11,1980,2010–11,911,Virgo
Utah Valley Wolverines,Western Athletic Conference,Mark Pope,09/11/72,9,11,1972,2015–16,911,Virgo
Charleston Southern Buccaneers,Big South Conference,Barclay Radebaugh,09/14/65,9,14,1965,2005–06,914,Virgo
George Mason Patriots,Atlantic 10 Conference,Dave Paulsen,09/14/64,9,14,1964,2015–16,914,Virgo
Detroit Mercy Titans,Horizon League,Mike Davis,09/15/60,9,15,1960,2018–19,915,Virgo
Western Illinois Leathernecks,Summit League,Billy Wright,09/15/74,9,15,1974,2014–15,915,Virgo
Minnesota Golden Gophers,Big Ten Conference,Richard Pitino,09/16/82,9,16,1982,2013–14,916,Virgo
St. Francis Brooklyn Terriers,Northeast Conference,Glenn Braica,09/16/64,9,16,1964,2010–11,916,Virgo
South Dakota State Jackrabbits,Summit League,T. J. Otzelberger,09/17/77,9,17,1977,2016–17,917,Virgo
Eastern Michigan Eagles,Mid-American Conference,Rob Murphy,09/19/73,9,19,1973,2011–12,919,Virgo
The Citadel Bulldogs,Southern Conference,Duggar Baucom,09/21/60,9,21,1960,2015–16,921,Virgo
Vanderbilt Commodores,Southeastern Conference,Bryce Drew,09/21/74,9,21,1974,2016–17,921,Virgo
VCU Rams,Atlantic 10 Conference,Mike Rhoades,09/21/72,9,21,1972,2017–18,921,Virgo
West Virginia Mountaineers,Big 12 Conference,Bob Huggins,09/21/53,9,21,1953,2007–08,921,Virgo
Missouri Tigers,Southeastern Conference,Cuonzo Martin,09/23/71,9,23,1971,2017–18,923,Libra
Utah Utes,Pac-12 Conference,Larry Krystkowiak,09/23/64,9,23,1964,2011–12,923,Libra
Georgia Tech Yellow Jackets,Atlantic Coast Conference,Josh Pastner,09/26/77,9,26,1977,2016–17,926,Libra
Prairie View A&M Panthers,Southwestern Athletic Conference,Byron Smith,09/26/69,9,26,1969,2015–16,926,Libra
Saint Francis Red Flash,Northeast Conference,Rob Krimmel,09/27/77,9,27,1977,2012–13,927,Libra
UCF Knights,American Athletic Conference,Johnny Dawkins,09/28/63,9,28,1963,2016–17,928,Libra
Drexel Dragons,Colonial Athletic Association,Zach Spiker,09/30/76,9,30,1976,2016–17,930,Libra
Louisiana–Monroe Warhawks,Sun Belt Conference,Keith Richard,10/01/60,10,01,1960,2010–11,1001,Libra
Appalachian State Mountaineers,Sun Belt Conference,Jim Fox,10/02/73,10,02,1973,2014–15,1002,Libra
Miami Hurricanes,Atlantic Coast Conference,Jim Larrañaga,10/02/49,10,02,1949,2011–12,1002,Libra
Houston Cougars,American Athletic Conference,Kelvin Sampson,10/05/55,10,05,1955,2014–15,1005,Libra
Quinnipiac Bobcats,Metro Atlantic Athletic Conference,Baker Dunleavy,10/05/82,10,05,1982,2017–18,1005,Libra
Temple Owls,American Athletic Conference,Fran Dunphy,10/05/48,10,05,1948,2006–07,1005,Libra
Long Beach State 49ers,Big West Conference,Dan Monson,10/06/61,10,06,1961,2007–08,1006,Libra
Saint Peter's Peacocks,Metro Atlantic Athletic Conference,Shaheen Holloway,10/07/76,10,07,1976,2018–19,1007,Libra
Albany Great Danes,America East Conference,Will Brown,10/08/71,10,08,1971,2001–02,1008,Libra
Bradley Braves,Missouri Valley Conference,Brian Wardle,10/09/79,10,09,1979,2015–16,1009,Libra
Coppin State Eagles,Mid-Eastern Athletic Conference,Juan Dixon,10/09/78,10,09,1978,2017–18,1009,Libra
Army Black Knights,Patriot League,Jimmy Allen,10/10/68,10,10,1968,2016–17,1010,Libra
Austin Peay Governors,Ohio Valley Conference,Matt Figger,10/10/68,10,10,1968,2017–18,1010,Libra
Charlotte 49ers,Conference USA,Ron Sanchez,10/10/68,10,10,1968,2018–19,1010,Libra
Chattanooga Mocs,Southern Conference,Lamont Paris,10/10/68,10,10,1968,2017–18,1010,Libra
Chicago State Cougars,Western Athletic Conference,Lance Irvin,10/10/68,10,10,1968,2018–19,1010,Libra
Cornell Big Red,Ivy League,Brian Earl,10/10/68,10,10,1968,2016–17,1010,Libra
Dartmouth Big Green,Ivy League,David McLaughlin,10/10/68,10,10,1968,2016–17,1010,Libra
Delaware State Hornets,Mid-Eastern Athletic Conference,Eric Skeeters,10/10/68,10,10,1968,2018–19,1010,Libra
Florida Atlantic Owls,Conference USA,Dusty May,10/10/68,10,10,1968,2018–19,1010,Libra
Jackson State Tigers,Southwestern Athletic Conference,Wayne Brent,10/10/68,10,10,1968,2013–14,1010,Libra
La Salle Explorers,Atlantic 10 Conference,Ashley Howard,10/10/68,10,10,1968,2018–19,1010,Libra
Longwood Lancers,Big South Conference,Griff Aldrich,10/10/68,10,10,1968,2018–19,1010,Libra
Mississippi Valley State Delta Devils,Southwestern Athletic Conference,Andre Payne,10/10/68,10,10,1968,2014–15,1010,Libra
Mount St. Mary's Mountaineers,Northeast Conference,Dan Engelstad,10/10/68,10,10,1968,2018–19,1010,Libra
NJIT Highlanders,Atlantic Sun Conference,Brian Kennedy,10/10/68,10,10,1968,2016–17,1010,Libra
North Alabama Lions,Atlantic Sun Conference,Tony Pujol,10/10/68,10,10,1968,2018–19,1010,Libra
North Carolina A&T Aggies,Mid-Eastern Athletic Conference,Jay Joyner,10/10/68,10,10,1968,2015–16,1010,Libra
Northern Colorado Bears,Big Sky Conference,Jeff Linder,10/10/68,10,10,1968,2016–17,1010,Libra
Ohio Bobcats,Mid-American Conference,Saul Phillips,10/10/72,10,10,1972,2014–15,1010,Libra
